part,trial,resp,rt,rtlog,prime,lang,mis
yykaakoo1,155,j,1.12388339999598,0.116790009432099,a_unrel,vieras,labra
yykaakoo1,163,j,0.992201199987903,-0.00782936969453,a_unrel,vieras,labra
yykaakoo2,110,j,0.695177800022066,-0.363587638765707,a_unrel,vieras,labra
yykaakoo2,120,j,0.729816500097513,-0.3149621461678,a_unrel,vieras,labra
yykaakoo2,166,j,0.907899499987252,-0.096621589340064,a_unrel,vieras,labra
yykaakoo2,168,j,0.722518300055526,-0.325012530519743,a_unrel,vieras,labra
yykaakoo2,170,j,0.717809699941427,-0.331550786928023,a_unrel,vieras,labra
yykaakoo2,172,j,0.633779800031334,-0.456053703436537,a_unrel,vieras,labra
yykaakoo2,174,j,0.757255399948917,-0.278054698101316,a_unrel,vieras,labra
yykaakoo2,177,j,0.726705999928527,-0.319233284989988,a_unrel,vieras,labra
yykaakoo2,185,j,0.990631300024688,-0.009412862290341,a_unrel,vieras,labra
yykaakoo2,188,j,1.1898688999936,0.173843132981885,a_unrel,vieras,labra
L10,124,j,0.870007299992722,-0.139253676572478,der,vieras,labra
L10,91,j,0.687033499998506,-0.37537222521429,der,vieras,labra
L10,119,j,0.655388199957088,-0.422527547217178,der,vieras,labra
L11,20,j,0.539910400000736,-0.616352079115609,der,vieras,labra
L11,25,j,0.451970399999482,-0.794138588021065,der,vieras,labra
L11,31,j,0.598673599999529,-0.513038737564192,der,vieras,labra
L11,33,j,0.600227399998403,-0.51044669557101,der,vieras,labra
L11,35,j,0.534796600000846,-0.625868791289805,der,vieras,labra
L11,40,j,0.502499800000805,-0.688160037057334,der,vieras,labra
L11,42,j,0.564681300000302,-0.571493777779403,der,vieras,labra
L11,44,j,0.572702800000116,-0.55738837047237,der,vieras,labra
L11,47,j,0.607183100000839,-0.498924885961243,der,vieras,labra
L11,51,j,0.528974900000321,-0.636814296264046,der,vieras,labra
L11,53,j,0.586730999999418,-0.533188826540251,der,vieras,labra
L11,60,j,0.44787340000039,-0.803244675787871,der,vieras,labra
L11,75,j,0.385625400000208,-0.952888847045336,der,vieras,labra
L11,82,j,0.636680400000841,-0.451487476160266,der,vieras,labra
